Image Name,Shape Name,Sides,Area,Perimeter,Aspect Ratio,Compactness,Solidity,Convexity
0.png,Circle,8,8599.0,368.4507908821106,1.0,1.2563226023414775,0.9763269940391711,0.9060812367546048
1.png,Circle,8,8605.5,369.03657746315,1.0,1.259368582564142,0.9769540784469547,0.9044996405543642
10.png,Circle,6,8622.0,368.4507908821106,1.0,1.2529712430450437,0.9784384929641398,0.9057846827273748
100.png,Circle,6,8600.5,366.69343185424805,1.0,1.244149868069087,0.978942575835183,0.9094219117274893
1000.png,Circle,6,11379.5,432.63455641269684,1.0677966101694916,1.3089087374466992,0.9774943091526006,0.887684082180474
1001.png,Circle,6,11446.5,434.63455641269684,1.0677966101694916,1.3133060013167166,0.9777483556846331,0.886507928756627
1002.png,Circle,6,11406.5,435.9482649564743,1.05,1.3258904369316418,0.9772532556545579,0.8814163559284854
1003.png,Circle,6,11500.0,434.190905213356,1.0677966101694916,1.3045290063760993,0.9802250255710876,0.887534540492915
1004.png,Circle,4,2.0,6.0,0.6666666666666666,1.432394487827058,1.0,1.0
1005.png,Circle,7,11607.5,436.63455629348755,1.0333333333333334,1.307036305996734,0.9796185332095535,0.8872679421945201
1006.png,Circle,6,11495.0,453.36247885227203,1.0327868852459017,1.42289321623577,0.972257464264569,0.8539059044492909
1007.png,Circle,5,11581.0,429.705624461174,1.05,1.2687794936768535,0.9788277057008833,0.9010921533342117
1008.png,Circle,6,11720.5,442.9777022600174,1.0163934426229508,1.3323174895748822,0.977482173387265,0.880323001487115
1009.png,Circle,6,11621.5,450.776692032814,1.008130081300813,1.391396331156228,0.9762274770044941,0.8609370821496539
101.png,Circle,7,8594.5,369.8650048971176,1.0,1.2666481824195908,0.9775919922652562,0.9014149727837121
1010.png,Circle,6,11616.5,447.9482650756836,1.024390243902439,1.3745816974875475,0.9741708247725271,0.8667408663428625
1011.png,Circle,6,11619.0,447.3624781370163,1.0163934426229508,1.3706939479773863,0.9751982878005792,0.8677704930419686
1012.png,Circle,7,11522.5,440.776692032814,1.0163934426229508,1.3417779841189277,0.9744186046511628,0.8778804406531248
1013.png,Circle,4,2.0,6.0,0.6666666666666666,1.432394487827058,1.0,1.0
1014.png,Circle,5,11634.5,474.4335459470749,1.0,1.539547846437611,0.9715251972777754,0.8198182011039875
1015.png,Circle,6,11611.5,456.776692032814,1.008130081300813,1.429913213978691,0.9725688918669906,0.8512167679799466
1016.png,Circle,5,11562.5,466.09039998054504,1.0,1.495129140298649,0.9673303773111352,0.8340444375725917
1017.png,Circle,5,11638.0,439.22034299373627,1.0,1.3190968299033528,0.9747885082502722,0.8840041579718267
1018.png,Circle,6,11625.5,453.46298360824585,1.008130081300813,1.4075446417803328,0.9728044851679846,0.8574564201797037
1019.png,Circle,5,11629.5,457.1198377609253,1.0,1.4298458880031009,0.9719598829920602,0.8517572223262655
102.png,Circle,7,8528.0,368.45079123973846,1.0,1.266782138661578,0.9789358893416747,0.9008178708709792
1020.png,Circle,6,11529.5,439.46298360824585,1.008130081300813,1.3329819300519485,0.9770762711864407,0.878708596679431
1021.png,Circle,6,11613.5,449.6051187515259,1.0,1.385126715501962,0.9740417680114065,0.8639472711858729
1022.png,Circle,5,11522.5,458.91882741451263,1.008130081300813,1.454504836428041,0.9699890563178719,0.844671376613002
1023.png,Circle,5,11503.5,471.2619732618332,1.0,1.5363314956810707,0.9672903090182888,0.8234267206580579
1024.png,Circle,5,11529.5,483.6051193475723,1.008130081300813,1.6142152334864786,0.9685399865591398,0.8021541047366656
1025.png,Circle,6,11610.0,455.3624782562256,1.0163934426229508,1.4212562916763514,0.9713855421686747,0.8547469197519725
1026.png,Circle,6,11493.0,461.0193328857422,1.0163934426229508,1.471617708368175,0.9697097536280797,0.8401566127792527
1027.png,Circle,7,11491.0,467.0193328857422,1.008130081300813,1.5104349617430384,0.9683562971390047,0.8298556545126294
1028.png,Circle,6,11542.0,462.53405153751373,1.0163934426229508,1.4750151724362586,0.9693050598362377,0.8402503025731065
1029.png,Circle,5,11518.5,465.9482650756836,1.0163934426229508,1.4999252195248678,0.969122039459846,0.8326357517616156
103.png,Circle,6,8532.0,368.4507910013199,1.0,1.2661882400990259,0.9769838543455857,0.9018539123281984
1030.png,Circle,5,11345.0,461.36247861385345,1.0333333333333334,1.493035654250891,0.9698653558452661,0.8344430552418252
1031.png,Circle,6,11336.5,451.6051194667816,1.0333333333333334,1.4316236251007637,0.9735915492957746,0.849684183882333
1032.png,Circle,6,11382.0,457.3624782562256,1.024793388429752,1.4624890383829494,0.9716163728712279,0.8422910579413269
1033.png,Circle,7,11222.0,455.84775936603546,1.0333333333333334,1.473531826449802,0.9700060506526061,0.8397542345984464
1034.png,Circle,4,1.0,4.0,1.0,1.2732395447351628,1.0,1.0
1035.png,Circle,6,11298.5,433.8061294555664,1.0508474576271187,1.3254419572348561,0.9776749015705447,0.8821404363483314
1036.png,Circle,7,11104.0,423.220342874527,1.0508474576271187,1.2836415086453346,0.9778521421337678,0.8969439036448289
1037.png,Circle,6,11078.5,432.97770261764526,1.0508474576271187,1.3466050456667973,0.9749196990363884,0.875971723719252
1038.png,Circle,7,11156.5,425.8061295747757,1.0689655172413792,1.2932604133289425,0.9771831479372866,0.8936716466106434
1039.png,Circle,6,11080.0,436.04877030849457,1.0689655172413792,1.3655905656886593,0.9739375027468905,0.872221503536521
104.png,Circle,7,8515.5,367.86500453948975,1.0,1.264610933608239,0.9770523779473352,0.9025872458126403
1040.png,Circle,7,11078.5,425.8061293363571,1.0689655172413792,1.302365824357713,0.9785364130194762,0.8897760908663711
1041.png,Circle,6,11069.5,432.2914105653763,1.0689655172413792,1.343430933838121,0.9762755214534551,0.8772310673131578
1042.png,Circle,7,11002.5,425.1198379993439,1.0508474576271187,1.307138185416584,0.9735433349555369,0.8896597725256287
1043.png,Circle,5,11080.0,453.3624782562256,1.0593220338983051,1.4761874979803713,0.9727404415960669,0.837447614093279
1044.png,Circle,6,11223.0,444.04877042770386,1.0508474576271187,1.3981137817182594,0.9745571378951025,0.8598095442149308
1045.png,Circle,6,11209.5,450.29141080379486,1.0508474576271187,1.4394322233147023,0.9741038453182707,0.8484666821408376
1046.png,Circle,6,11268.5,440.97770261764526,1.0420168067226891,1.3732742858020075,0.9768540592085302,0.8662658780704815
1047.png,Circle,7,11225.0,436.3919161558151,1.0333333333333334,1.3500727773288217,0.9724508360045049,0.877111744235193
1048.png,Circle,7,11248.5,437.6051185131073,1.0333333333333334,1.3547535871196001,0.9748667504441652,0.8729235337867066
